,LISTING_URL,MAKE,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,ENGINE_CAP_CC,MILEAGE_KM,VEHICLE_TYPE
95,https://www.sgcarmart.com/used_cars/info.php?ID=896425&DL=3511,Toyota,106800,10610.0,25-Sep-2019,1797,,SUV
96,https://www.sgcarmart.com/used_cars/info.php?ID=911373&DL=2954,BMW,102888,10920.0,24-May-2018,1499,58000.0,MPV
97,https://www.sgcarmart.com/used_cars/info.php?ID=912488&DL=2954,Lexus,116888,13270.0,23-Nov-2017,2494,49000.0,Luxury Sedan
98,https://www.sgcarmart.com/used_cars/info.php?ID=912115&DL=1000,BMW,51800,11650.0,30-Dec-2013,1598,113207.0,Luxury Sedan
99,https://www.sgcarmart.com/used_cars/info.php?ID=922480&DL=2954,Nissan,186888,24760.0,29-Mar-2008,3799,78000.0,Sports Car
100,https://www.sgcarmart.com/used_cars/info.php?ID=878641&DL=2296,Jaguar,93800,12990.0,29-Jul-2015,1999,70000.0,Luxury Sedan
101,https://www.sgcarmart.com/used_cars/info.php?ID=926640&DL=1000,Honda,41588,5270.0,23-Apr-2009,1799,,MPV
102,https://www.sgcarmart.com/used_cars/info.php?ID=870231&DL=3137,Volkswagen,126000,17060.0,31-Aug-2016,1984,71800.0,Sports Car
103,https://www.sgcarmart.com/used_cars/info.php?ID=926609&DL=3160,Honda,29750,7230.0,22-Oct-2009,1595,86000.0,Mid-Sized Sedan
104,https://www.sgcarmart.com/used_cars/info.php?ID=914455&DL=3091,Toyota,71800,8540.0,02-Jan-2018,1496,22919.0,MPV
105,https://www.sgcarmart.com/used_cars/info.php?ID=917863&DL=3722,Honda,43800,9350.0,11-Feb-2015,1317,71350.0,Hatchback
106,https://www.sgcarmart.com/used_cars/info.php?ID=926693&DL=3376,BMW,433888,36540.0,20-Aug-2020,2993,3000.0,SUV
107,https://www.sgcarmart.com/used_cars/info.php?ID=918756&DL=3743,Honda,42800,8370.0,22-Oct-2005,2997,248000.0,MPV
108,https://www.sgcarmart.com/used_cars/info.php?ID=917490&DL=3723,Toyota,74300,12040.0,17-Sep-2015,1986,83000.0,SUV
109,https://www.sgcarmart.com/used_cars/info.php?ID=925456&DL=3722,Toyota,12800,8780.0,26-Feb-2007,1794,154702.0,MPV
110,https://www.sgcarmart.com/used_cars/info.php?ID=919397&DL=2962,Honda,71800,11480.0,04-Sep-2015,2356,,MPV
111,https://www.sgcarmart.com/used_cars/info.php?ID=900126&DL=2795,Honda,53800,5620.0,05-Apr-2010,1799,112000.0,MPV
112,https://www.sgcarmart.com/used_cars/info.php?ID=923409&DL=3666,Kia,120588,11940.0,25-Apr-2019,2199,23000.0,SUV
113,https://www.sgcarmart.com/used_cars/info.php?ID=921751&DL=1277,Toyota,59800,7620.0,07-Apr-2017,1496,47905.0,MPV
114,https://www.sgcarmart.com/used_cars/info.php?ID=922492&DL=2296,Audi,58800,10940.0,19-May-2015,1395,79000.0,Luxury Sedan
115,https://www.sgcarmart.com/used_cars/info.php?ID=926662&DL=2021,Toyota,18700,9030.0,08-Oct-2007,2362,167000.0,Luxury Sedan
116,https://www.sgcarmart.com/used_cars/info.php?ID=923452&DL=3287,Volkswagen,76800,10990.0,29-Apr-2016,1390,80000.0,SUV
117,https://www.sgcarmart.com/used_cars/info.php?ID=925841&DL=3118,Toyota,36800,,26-Nov-2010,3456,,MPV
118,https://www.sgcarmart.com/used_cars/info.php?ID=926774&DL=2975,Honda,57500,6850.0,13-Feb-2009,1799,190000.0,Mid-Sized Sedan
119,https://www.sgcarmart.com/used_cars/info.php?ID=926619&DL=3308,Volvo,59777,9880.0,28-Jul-2015,1560,97000.0,Luxury Sedan
120,https://www.sgcarmart.com/used_cars/info.php?ID=926766&DL=1079,BMW,71800,7200.0,15-Oct-2010,2497,,Luxury Sedan
121,https://www.sgcarmart.com/used_cars/info.php?ID=911641&DL=1277,Hyundai,67800,10000.0,23-Mar-2017,1580,81929.0,Hatchback
122,https://www.sgcarmart.com/used_cars/info.php?ID=919315&DL=2875,Lexus,102800,13890.0,29-Jun-2016,1998,67000.0,Luxury Sedan
123,https://www.sgcarmart.com/used_cars/info.php?ID=926626&DL=2341,Suzuki,16800,10290.0,08-May-2007,1590,112000.0,MPV
124,https://www.sgcarmart.com/used_cars/info.php?ID=926732&DL=3415,MINI,30800,14340.0,22-Dec-2011,1598,88000.0,Hatchback
125,https://www.sgcarmart.com/used_cars/info.php?ID=893368&DL=3511,Toyota,127800,11880.0,12-Mar-2020,1797,,MPV
